Date,Primary Type,Latitude,Longitude
07/29/2022 03:39:00 AM,OFFENSE INVOLVING CHILDREN,,
01/03/2023 04:44:00 PM,NARCOTICS,,
08/10/2020 09:45:00 AM,ROBBERY,41.908417,-87.67741
08/26/2017 10:00:00 AM,CRIM SEXUAL ASSAULT,,
09/06/2023 05:00:00 PM,CRIMINAL DAMAGE,41.886017,-87.63394
09/06/2023 11:00:00 AM,THEFT,41.871834,-87.62615
05/21/2019 08:20:00 AM,BURGLARY,41.85655,-87.6956
07/07/2021 10:30:00 AM,SEX OFFENSE,41.655117,-87.59489
06/14/2022 02:47:00 PM,ROBBERY,41.945232,-87.76673
09/21/2022 10:00:00 PM,MOTOR VEHICLE THEFT,41.76935,-87.615005
02/22/2023 01:50:00 PM,BURGLARY,41.767418,-87.57389
05/03/2023 08:10:00 AM,BATTERY,41.760944,-87.64308
12/25/2022 12:01:00 AM,BATTERY,41.792606,-87.70109
06/23/2023 04:44:00 AM,HOMICIDE,41.78593,-87.72327
02/10/2024 12:44:00 AM,BATTERY,41.809124,-87.631905
02/22/2024 12:49:00 AM,BATTERY,41.81281,-87.70416
03/13/2023 06:40:00 PM,HOMICIDE,41.734695,-87.61318
06/05/2023 09:15:00 PM,HOMICIDE,41.918495,-87.711914
05/17/2008 06:00:00 PM,ROBBERY,41.71004,-87.624794
05/27/2008 01:00:00 AM,ROBBERY,41.703007,-87.625786
08/05/2008 10:37:00 PM,ROBBERY,41.664425,-87.63905
12/27/2008 08:00:00 PM,BURGLARY,41.987328,-87.77065
04/21/2019 12:30:00 PM,ROBBERY,41.7495,-87.60116
10/30/2020 04:30:00 PM,CRIMINAL SEXUAL ASSAULT,41.745884,-87.59717
10/01/2020 12:01:00 AM,OFFENSE INVOLVING CHILDREN,,
09/24/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
04/17/2021 03:20:00 PM,ROBBERY,41.746628,-87.618034
09/07/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
01/14/2022 03:55:00 PM,OTHER OFFENSE,41.771782,-87.64944
01/13/2022 04:00:00 PM,OFFENSE INVOLVING CHILDREN,41.899204,-87.705505
08/05/2022 09:00:00 PM,SEX OFFENSE,41.763336,-87.597
08/14/2022 02:00:00 PM,SEX OFFENSE,41.985874,-87.7664
01/01/2015 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,,
11/10/2022 03:47:00 AM,WEAPONS VIOLATION,41.762615,-87.65284
07/10/2013 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
08/01/2022 10:00:00 PM,SEX OFFENSE,,
08/17/2019 01:14:00 PM,OFFENSE INVOLVING CHILDREN,41.896214,-87.72857
10/15/2022 01:30:00 AM,BATTERY,,
03/30/2023 09:16:00 AM,SEX OFFENSE,41.748653,-87.602684
05/10/2023 12:43:00 PM,OFFENSE INVOLVING CHILDREN,41.932014,-87.76992
04/01/2023 11:13:00 AM,OFFENSE INVOLVING CHILDREN,41.917564,-87.749825
06/22/2023 06:52:00 PM,DECEPTIVE PRACTICE,41.910652,-87.666145
11/16/2022 10:23:00 AM,SEX OFFENSE,41.73641,-87.56241
08/11/2023 11:00:00 AM,OFFENSE INVOLVING CHILDREN,41.880596,-87.70296
06/30/2023 04:00:00 AM,STALKING,41.692833,-87.60432
05/15/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
07/04/2023 05:30:00 PM,MOTOR VEHICLE THEFT,41.808903,-87.61814
04/09/2024 09:54:00 PM,WEAPONS VIOLATION,41.776752,-87.68222
11/09/2018 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,41.911575,-87.78997
02/01/2023 02:00:00 PM,SEX OFFENSE,41.788265,-87.6223
08/17/2023 03:15:00 PM,THEFT,41.917656,-87.68875
08/17/2023 07:25:00 PM,THEFT,41.935883,-87.71622
08/20/2023 04:30:00 AM,CRIMINAL DAMAGE,41.91779,-87.75462
08/20/2023 06:00:00 AM,THEFT,41.917507,-87.753395
08/21/2023 07:28:00 AM,CRIMINAL TRESPASS,41.91096,-87.69456
08/21/2023 02:37:00 PM,DECEPTIVE PRACTICE,41.921207,-87.75483
08/22/2023 11:44:00 AM,THEFT,41.929745,-87.68427
08/24/2023 04:07:00 PM,THEFT,41.903305,-87.67007
05/15/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
08/26/2023 02:15:00 AM,CRIMINAL TRESPASS,41.924248,-87.745636
08/26/2023 01:43:00 PM,THEFT,41.97236,-87.72814
08/27/2023 01:16:00 AM,BATTERY,41.96923,-87.71339
08/27/2023 11:58:00 AM,THEFT,41.928234,-87.68208
08/27/2023 01:16:00 PM,THEFT,41.910107,-87.70768
08/27/2023 10:00:00 PM,MOTOR VEHICLE THEFT,41.7617,-87.71864
08/28/2023 06:23:00 AM,CRIMINAL DAMAGE,41.930134,-87.785675
08/29/2023 01:59:00 PM,CRIMINAL DAMAGE,41.90652,-87.75836
08/30/2023 03:28:00 PM,THEFT,41.929745,-87.68427
08/30/2023 10:34:00 AM,CRIMINAL DAMAGE,41.92887,-87.72567
08/31/2023 05:12:00 PM,THEFT,41.92629,-87.785545
09/02/2023 12:35:00 AM,BATTERY,41.903126,-87.680984
09/02/2023 01:00:00 AM,BATTERY,41.748234,-87.64153
09/02/2023 04:28:00 PM,MOTOR VEHICLE THEFT,41.909687,-87.79601
09/02/2023 11:00:00 PM,BATTERY,41.71286,-87.5377
09/01/2023 07:50:00 PM,OTHER OFFENSE,41.910492,-87.74994
09/03/2023 03:00:00 AM,MOTOR VEHICLE THEFT,41.763424,-87.70524
09/03/2023 09:50:00 PM,OTHER OFFENSE,41.981426,-87.772995
09/04/2023 07:15:00 PM,BATTERY,41.79651,-87.70854
09/04/2023 09:47:00 PM,OTHER OFFENSE,41.945583,-87.74705
09/04/2023 10:10:00 PM,OTHER OFFENSE,41.9612,-87.77705
05/24/2023 12:00:00 PM,MOTOR VEHICLE THEFT,41.988964,-87.78277
09/05/2023 07:18:00 PM,OTHER OFFENSE,41.91539,-87.7657
09/05/2023 07:22:00 PM,ASSAULT,41.919437,-87.775566
09/05/2023 11:30:00 PM,OTHER OFFENSE,41.90256,-87.75088
09/05/2023 10:54:00 PM,OTHER OFFENSE,41.910507,-87.676315
12/07/2023 01:00:00 AM,BURGLARY,41.974033,-87.659805
12/11/2023 02:15:00 PM,DECEPTIVE PRACTICE,41.90117,-87.77169
09/05/2023 02:51:00 PM,BATTERY,41.862915,-87.70974
07/01/2023 09:00:00 AM,DECEPTIVE PRACTICE,41.941357,-87.78619
09/08/2021 04:45:00 PM,HOMICIDE,41.87319,-87.74345
11/19/2010 09:00:00 AM,ROBBERY,41.755352,-87.65144
03/20/2023 09:00:00 PM,MOTOR VEHICLE THEFT,41.965908,-87.7084
09/01/2023 01:30:00 AM,PROSTITUTION,41.807144,-87.74192
07/07/2023 04:00:00 AM,THEFT,41.729008,-87.55814
09/01/2023 01:09:00 PM,BATTERY,41.654835,-87.60756
08/30/2023 11:30:00 AM,OFFENSE INVOLVING CHILDREN,41.742134,-87.556366
09/01/2023 02:10:00 AM,PROSTITUTION,41.807648,-87.74116
07/30/2023 09:00:00 AM,DECEPTIVE PRACTICE,41.752937,-87.549065
08/17/2023 06:00:00 PM,MOTOR VEHICLE THEFT,41.939053,-87.73044
11/10/2023 10:50:00 AM,THEFT,41.991264,-87.66031
11/10/2023 05:30:00 AM,BATTERY,41.929512,-87.7991
11/10/2023 03:00:00 AM,THEFT,41.777,-87.652
11/10/2023 05:30:00 PM,CRIMINAL DAMAGE,41.89764,-87.72738
11/10/2023 06:00:00 PM,CRIMINAL DAMAGE,41.890427,-87.767784
11/10/2023 09:00:00 PM,MOTOR VEHICLE THEFT,41.726112,-87.65915
11/07/2023 05:30:00 PM,THEFT,41.986,-87.655266
10/29/2023 12:30:00 PM,CRIMINAL DAMAGE,41.9821,-87.77361
09/06/2023 02:00:00 PM,CRIMINAL DAMAGE,41.90713,-87.69447
09/06/2023 09:22:00 AM,CRIMINAL DAMAGE,41.81897,-87.64255
09/06/2023 02:10:00 AM,BATTERY,41.746433,-87.64635
09/06/2023 05:38:00 PM,BATTERY,41.760296,-87.68435
09/06/2023 12:58:00 PM,BATTERY,41.77988,-87.63679
09/06/2023 05:16:00 AM,OTHER OFFENSE,41.853058,-87.65019
09/06/2023 09:30:00 PM,THEFT,41.84388,-87.62043
09/06/2023 08:50:00 PM,BURGLARY,41.85869,-87.63189
09/06/2023 04:41:00 PM,MOTOR VEHICLE THEFT,41.93541,-87.74675
09/06/2023 12:00:00 PM,ASSAULT,41.968464,-87.70761
09/06/2023 05:30:00 PM,THEFT,41.96608,-87.647156
09/06/2023 07:54:00 PM,THEFT,41.73628,-87.58521
09/06/2023 05:30:00 PM,MOTOR VEHICLE THEFT,41.76366,-87.62686
09/06/2023 05:05:00 PM,CRIMINAL DAMAGE,41.891945,-87.76877
06/18/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,,
09/06/2023 09:32:00 AM,ASSAULT,41.748775,-87.60516
09/06/2023 08:15:00 AM,CRIMINAL DAMAGE,41.769924,-87.63727
09/06/2023 06:20:00 PM,CRIMINAL DAMAGE,41.91347,-87.76437
09/06/2023 11:11:00 PM,BURGLARY,41.809803,-87.64557
09/06/2023 06:45:00 AM,THEFT,41.987156,-87.66836
09/06/2023 06:00:00 PM,CRIMINAL DAMAGE,41.80606,-87.590996
07/24/2023 09:00:00 AM,DECEPTIVE PRACTICE,42.013786,-87.67318
09/06/2023 03:30:00 AM,OFFENSE INVOLVING CHILDREN,41.92147,-87.7328
09/06/2023 07:00:00 PM,OTHER OFFENSE,42.000298,-87.80798
09/06/2023 03:10:00 PM,ASSAULT,41.76889,-87.614136
09/06/2023 10:30:00 AM,ASSAULT,41.872963,-87.75366
09/06/2023 07:05:00 PM,NARCOTICS,41.880413,-87.72811
09/06/2023 12:32:00 AM,OTHER OFFENSE,41.702026,-87.56398
09/05/2023 08:00:00 AM,ROBBERY,41.90264,-87.72811
09/06/2023 09:30:00 PM,THEFT,41.80531,-87.589
09/06/2023 09:42:00 AM,CRIMINAL TRESPASS,41.88777,-87.6443
09/06/2023 06:00:00 PM,MOTOR VEHICLE THEFT,41.973923,-87.679344
09/06/2023 08:49:00 PM,CRIMINAL DAMAGE,41.853844,-87.62384
09/05/2023 12:00:00 PM,DECEPTIVE PRACTICE,41.776726,-87.68723
09/06/2023 07:00:00 PM,MOTOR VEHICLE THEFT,41.897617,-87.76914
09/06/2023 09:00:00 AM,THEFT,41.92085,-87.77318
09/06/2023 06:00:00 PM,BURGLARY,41.85519,-87.62387
09/06/2023 02:52:00 AM,CRIMINAL TRESPASS,41.967224,-87.70966
09/06/2023 04:07:00 PM,MOTOR VEHICLE THEFT,41.788525,-87.619064
09/06/2023 01:30:00 PM,ASSAULT,41.884476,-87.63131
